MR,Source,Followup,Result,BLEU_Score,,,
1,m. at a place where five hundred (500) or more persons may be present for the purposes of transiting through the place; or,m. at a place where five hundred (500) or more persons may not be present for the purposes of transiting through the place; or,m. at a place where five hundred (500) or more persons may not be present for the purpose of transiting through that place; or,0.916666667,,mean,0.745228568
1,n. specified as exempt from this direction by the Chief Health Officer in writing or delivered by an operator who has a social distancing policy approved in writing by the Chief Health Officer.,n. specified as not exempt from this direction by the Chief Health Officer in writing or delivered by an operator who has a social distancing policy approved in writing by the Chief Health Officer.,n. stated as not exempt from this instruction by the Chief Health Officer in writing or delivered by an operator who has a social distancing policy approved in writing by the Chief Health Officer.,0.941176471,,median,0.776184708
1,"6. For the purposes of paragraph 5(k), a school event that involves members of the community in addition to staff and students is deemed not necessary for the normal business of the facility.","6. For the purposes of paragraph 5(k), a school event that involves members of the community in addition to staff and students is deemed not not necessary for the normal business of the facility.","6. For the purposes of paragraph 5(k), school events involving community members in addition to staff and students are considered unnecessary for the normal affairs of the facility.",0.634163944,,max,1
1,"Note: The intended effect of paragraph 6 is that a school event that involves members of the community in addition to staff and students will be a mass gathering if it involves a gathering of five hundred (500) or more persons in a single undivided space at the same time. School events include assemblies, sporting events or parent-teacher events.","Note: The intended effect of paragraph 6 is not that a school event that involves members of the community in addition to staff and students will be a mass gathering if it involves a gathering of five hundred (500) or more persons in a single undivided space at the same time. School events include assemblies, sporting events or parent-teacher events.","Note: The intended effect of paragraph 6 is not a school event involving members of the community in addition to staff and students will be a mass gathering if it involves a gathering of five hundred (500) people or more in one undivided space. at the same time. School events include assemblies, sporting events or parent-teacher events.",0.882151973,,min,0.042518956
1,Note: the exclusions identified in paragraph 5 will be reviewed on a day to day basis and further directions are expected to be issued to remove some of the current exclusions.,Note: the exclusions identified in paragraph 5 will not be reviewed on a day to day basis and further directions are expected to be issued to remove some of the current exclusions.,Note: the exceptions identified in paragraph 5 will not be reviewed on a daily basis and further instructions are expected to be issued to remove some of the current exceptions.,0.81077272,,,
1,"7. Except in those circumstances identified in paragraph 8 below, a person who arrives at an airport in Victoria on a flight that originated from a place outside Australia, or on a connecting flight from a flight that originated from a place outside Australia:","7. Except in those circumstances identified in paragraph 8 below, a person who arrives at an airport in Victoria on a flight that originated from a place not outside Australia, or on a connecting flight from a flight that originated from a place outside Australia:","7. Except in the circumstances identified in paragraph 8 below, a person who arrives at an airport in Victoria on a flight originating from a place not outside Australia, or on a connecting flight from a flight originating from a place outside Australia:",0.887956708,,,
1,a. must travel from the airport to a premises that is suitable for the person to reside in for a period of 14 days;,a. must travel from the airport to a premises that is not suitable for the person to reside in for a period of 14 days;,a. must go from the airport to premises that are not suitable for the person to live within 14 days;,0.623040626,,,
1,"b. except in exceptional circumstances, must reside in that premises for the period beginning on the day of arrival and ending at midnight on the fourteenth (14th) day after arrival;","b. except in exceptional circumstances, must not reside in that premises for the period beginning on the day of arrival and ending at midnight on the fourteenth (14th) day after arrival;","b. except in exceptional circumstances, may not stay on the premises for a period starting on the day of arrival and ending at midnight on the fourteenth (14th) day after arrival;",0.838709677,,,
1,"c. must not leave the premises, except: for the purposes of obtaining medical care or medical supplies;","c. must not leave the premises, except: for the purposes of not obtaining medical care or medical supplies;","c. may not leave the premises, except: for the purpose of not seeking medical treatment or medical supplies;",0.777777778,,,
1,"c. must not leave the premises, except: in any other emergency situation;","c. must not not leave the premises, except: in any other emergency situation;","c. cannot leave the premises, except: in any other emergency situation;",0.757957198,,,
1,"c. must not leave the premises, except: in circumstances where it is possible to avoid close contact with other persons; and","c. must not leave the premises, except: in circumstances where it is not possible to avoid close contact with other persons; and","c. cannot leave the premises, except: in circumstances where it is impossible to avoid close contact with other people; and",0.769111805,,,
1,"d. must not permit any other person to enter the premises unless that other person usually lives at the premises, or the other person is also complying with this direction for the same 14 day period, or for medical or emergency purposes.","d. must not permit any other person to enter the premises unless that other person usually lives at the premises, or the other person is also not complying with this direction for the same 14 day period, or for medical or emergency purposes.","d. must not allow any other person to enter the premises unless that other person normally resides on the premises, or that other person also disobeys these instructions for the same 14-day period, or for medical or emergency purposes.",0.69424638,,,
1,8. A person is not required to comply with the direction in paragraph 7 if the person is: a member of the flight crew;,8. A person is not required to comply with the direction in paragraph 7 if the person is: not a member of the flight crew;,8. A person need not comply with the instructions in paragraph 7 if that person: is not a member of the flight crew;,0.757287917,,,
