MR,Source,Followup,Result,BLEU_Score
1,COVID-19 vaccines are safe and effective in protecting you against COVID-19.,COVID-19 vaccines are not safe and effective in protecting you against COVID-19.,The COVID-19 vaccine is not safe and effective in protecting you from COVID-19.,0.692307692
1,"When you get vaccinated, your body starts producing antibodies against the virus.","When you get vaccinated, your body does not starts producing antibodies against the virus.","When you get vaccinated, your body doesn't start to produce antibodies to the virus.",0.642857143
1,These antibodies help your immune system fight the virus if exposed to it.,These antibodies does not help your immune system fight the virus if exposed to it.,These antibodies do not help fight the virus when your immune system is exposed to it.,0.8125
1,"COVID-19 vaccines provide strong protection against serious illness, hospitalisation, and death.","COVID-19 vaccines does not provide strong protection against serious illness, hospitalisation, and death.","The COVID-19 vaccine does not provide strong protection against serious illness, hospitalization, and death.",0.785714286
1,"Getting vaccinated helps those at a higher risk of falling seriously ill have an increased immunity, such as people who are severely immunocompromised, pregnant (including their unborn baby), adults aged above 65 years, and Aboriginal and Torres Strait Islander people.","Getting vaccinated helps those at a higher risk of falling seriously ill have an increased immunity, such as people who are not severely immunocompromised, pregnant (including their unborn baby), adults aged above 65 years, and Aboriginal and Torres Strait Islander people.","Vaccination helps boost immunity in people who do not have severe immune compromise, pregnant women (including unborn babies), adults 65 years of age or older, and people at higher risk of serious illness, such as Aboriginal and Torres Strait Islander residents.",0.536585366
1,mRNA vaccines (Pfizer and Moderna) are safe and effective for children.,mRNA vaccines (Pfizer and Moderna) are not safe and effective for children.,mRNA vaccines (Pfizer and Moderna) are not safe and effective in children.,0.916666667
1,Three doses of the vaccine have proven to provide stronger and longer-lasting protection.,Three doses of the vaccine have not proven to provide stronger and longer-lasting protection.,"A stronger, longer-lasting protection has not been demonstrated with three doses.",0.138418252
1,Getting vaccinated is a safer and more dependable way to build immunity to COVID-19 than getting sick with COVID-19.,Getting vaccinated is not a safer and more dependable way to build immunity to COVID-19 than getting sick with COVID-19.,Vaccination is no safer and more reliable way to build immunity against COVID-19 than getting it.,0.535425538
1,"If you had COVID-19, you should still get vaccinated to receive maximum protection.","If you had COVID-19, you should not still get vaccinated to receive maximum protection.","If you are infected with COVID-19, you should still not be vaccinated for maximum protection.",0.666666667
1,Children aged between 6 months and under 5 years who are at an increased risk of severe illness from COVID-19 are recommended a paediatric formulation of the Moderna vaccine.,Children aged between 6 months and under 5 years who are at an increased risk of severe illness from COVID-19 are not recommended a paediatric formulation of the Moderna vaccine.,Modernavacine's pediatric formulation is not recommended for children 6 months to under 5 years of age at high risk of serious illness from COVID-19.,0.454300457
1,"Eligible children can receive 2 doses, 8 weeks apart if they have a severely compromised immune system.","Eligible children can receive 2 doses, 8 weeks apart if they do not have a severely compromised immune system.",Eligible children may receive 2 doses 8 weeks apart if their immune system is not severely compromised.,0.575241613
1,"Eligible children can receive 2 doses, 8 weeks apart if they have a severely compromised immune system, a disability that requires frequent assistance with activities of daily living, such as severe cerebral palsy or Down syndrome, and complex or multiple health conditions which increase the risk of severe COVID-19.","Eligible children can receive 2 doses, 8 weeks apart if they have a severely compromised immune system, a disability that requires frequent assistance with activities of daily living, such as severe cerebral palsy or Down syndrome, and complex or multiple health conditions which increase the risk of severe COVID-19.","If you have a severely compromised immune system, a disorder that requires frequent assistance with activities of daily living, such as severe cerebral palsy or Down syndrome, or a complex or complex health condition that increases your risk, you may receive two doses 8 weeks apart. of severe COVID-19.",0.673469388
1,Some children with severe immunocompromise will require 3 primary doses.,Some children with severe immunocompromise will not require 3 primary doses.,Some children with severe immune compromise do not need the 3rd dose.,0.416666667
1,ATAGI is currently not recommending COVID-19 vaccination for children in this age group who are not at increased risk.,ATAGI is currently recommending COVID-19 vaccination for children in this age group who are not at increased risk.,ATAGI currently recommends vaccination against COVID-19 for children in this age group who are not at increased risk.,0.888888889
1,Bookings can be made via the vaccine clinic finder for participating GPs state-wide or via the Coronavirus Hotline 1800 675 398 for specialist vaccination clinics in metropolitan Melbourne.,Bookings can not be made via the vaccine clinic finder for participating GPs state-wide or via the Coronavirus Hotline 1800 675 398 for specialist vaccination clinics in metropolitan Melbourne.,Reservations cannot be made through the Vaccine Clinic Locator for participating GPs across the state or via the Coronavirus Hotline 1800 675 398 for Specialty Immunization Clinics in the Melbourne metropolitan area.,0.53125
1,Speak with your child's doctor or call the Coronavirus Hotline on 1800 675 398 for more information.,Do not speak with your child's doctor or call the Coronavirus Hotline on 1800 675 398 for more information.,"For more information, do not talk to your child's doctor or call the coronavirus hotline on 1800 675 398.",0.578947368
1,"The recommended schedule for vaccination in this age group is 2 doses, 8 weeks apart.","The recommended schedule for vaccination in this age group is not 2 doses, 8 weeks apart.",The recommended vaccination schedule for this age group is not two doses 8 weeks apart.,0.81077272
1,The dose interval can be shortened to a minimum of 3 weeks (for children who receive a Pfizer vaccine) or 4 weeks (for children who receive a Moderna vaccine) in special circumstances.,The dose interval can not be shortened to a minimum of 3 weeks (for children who receive a Pfizer vaccine) or 4 weeks (for children who receive a Moderna vaccine) in special circumstances.,"In special circumstances, the interval between doses cannot be reduced to a minimum of 3 weeks (Pfizer vaccinated children) or 4 weeks (modern or vaccinated children).",0.352600124
1,A third primary dose is recommended for children in this age group who are severely immunocompromised.,A third primary dose is not recommended for children in this age group who are severely immunocompromised. ,A third primary dose is not recommended for children of this age with severely compromised immunity.,0.704559797
1,It is recommended they receive this dose from 8 weeks after their second dose.,It is not recommended they receive this dose from 8 weeks after their second dose.,It is not recommended to receive this dose from 8 weeks after the second dose.,0.866666667
1,"Unless immunocompromised, this age group is not eligible for a third dose.","Unless immunocompromised, this age group is eligible for a third dose.","As long as immunity is not compromised, this age group is eligible for a third dose.",0.5625
1,Children aged 5 can get the Pfizer vaccine.,Children aged 5 can not get the Pfizer vaccine.,Children 5 years of age are not eligible to receive the Pfizer vaccine.,0.461538462
1,Children aged 6 to 11 can get the Pfizer or Moderna vaccine.,Children aged 6 to 11 can not get the Pfizer or Moderna vaccine.,Children 6-11 years of age are not eligible for Pfizer or Moderna vaccines.,0.384615385
1,"They will receive a smaller dose of the vaccine, specifically for their age group.","They will not receive a smaller dose of the vaccine, specifically for their age group.","They won't get a lower dose of the vaccine, especially for an age group.",0.598540358
1,"For some in this age group, this may be the fourth dose if they had a three-dose primary course.","For some in this age group, this may not be the fourth dose if they had a three-dose primary course.","Some people in this age group may have had their 3rd dose, but this may not be their 4th dose.",0.4
1,"People aged 12 to 15 can get the Pfizer, Moderna or Novavax vaccine for their primary dose.","People aged 12 to 15 can not get the Pfizer, Moderna or Novavax vaccine for their primary dose.","People between the ages of 12 and 15 should not get the Pfizer, Moderna, or Novavax vaccine as their first dose.",0.571428571
1,Pfizer is the recommended vaccine for the additional dose.,Pfizer is not the recommended vaccine for the additional dose.,Pfizer is not a recommended vaccine for booster doses.,0.596559545
1,"The recommended schedule for vaccination in this age group is 2 doses, 8 weeks apart.","The not recommended schedule for vaccination in this age is not 2 doses, 8 weeks apart.",The non-recommended vaccination schedule at this age is not 2 doses 8 weeks apart.,0.68111835
1,The dose interval can be shortened to a minimum of 3 weeks (for people who receive a Pfizer vaccine) or 4 weeks (for people who receive a Moderna vaccine) in special circumstances.,The dose interval can not be shortened to a minimum of 3 weeks (for people who receive a Pfizer vaccine) or 4 weeks (for people who receive a Moderna vaccine in special circumstances.,The dosing interval cannot be shortened to at least 3 weeks (for people receiving a Pfizer vaccine) or 4 weeks (for people receiving a Moderna vaccine under special circumstances).,0.630839109
1,A third primary dose is recommended for people in this age group who are severely immunocompromised.,A third primary dose is not recommended for people in this age group who are severely immunocompromised.,A third primary dose is not recommended for severely immunocompromised individuals in this age group.,0.700138655
1,It is recommended they receive this dose from 8 weeks after their second dose.,It is not recommended they receive this does from 8 weeks after their second dose.,It is not recommended to receive this dose from 8 weeks after the second dose.,0.8
1,People aged 16 to 17 are also recommended to receive an additional dose after their primary course of vaccination.,People aged 16 to 17 are also not recommended to receive an additional dose after their primary course of vaccination,People aged 16 to 17 years are also not recommended to have an extra dose after their primary vaccination course,0.85
1,This will be a third dose for most people.,This will not be a third dose for most people.,This will not be a third dose for most people.,1
1,"However, for people who are severely immunocompromised, an additional dose will be a fourth dose, as they will already have had 3 primary vaccine doses.","However, for people who are not severley immunocompromised, an additional dose will be a fourth dose, as they will already have had 3 primary vaccine doses.","However, for people who are not severely immunocompromised, an additional dose is a fourth dose since they have already received 3 primary vaccine doses.",0.728368495
1,Everyone aged 16 and over who is severely immunocompromised or lives in disability care facilities can receive their winter dose 3 months after receiving their third dose (or fourth dose for people who are severely immunocompromised) or being infected with COVID-19 if it has occurred since the person's third dose.,Everyone aged 16 and over who is not severly immunocompromised or lives in disability care facilities can receive their winter dose 3 months after receiving their third dose (or forth dose for people who are severly immunocompromised) or being infected with COVID-19 if it has ocurred since the person's third dose.,"Anyone 16 years and older who is not severely immunocompromised or living in care facilities for the disabled can have their winter dose 3 months after receiving their third dose (or fourth dose for those with severe immunodeficiency) or infection with COVID-19, if it has occurred is since the third dose of the person.",0.592592593
1,"People aged 16 to 17 can get the Pfizer, Moderna or Novavax vaccine for their primary course of vaccination.","People not aged 16 to 17 can not get the Pfizer, Moderna or Novavax vaccine for their primary course of vaccination.","People under the age of 16 to 17 cannot receive the Pfizer, Moderna or Novavax vaccine for their primary series.",0.665860597
1,"The primary course of vaccination is the first two doses, or three doses for people who are severely immunocompromised.","The primary course of vaccination is the first two doses, or three doses for people who are not severely immunocompromised.",The primary immunization consists of the first two doses of vaccine or three doses of vaccine for people who are not severely immunocompromised.,0.695652174
1,They are eligible to receive a Pfizer vaccine for this additional third or fourth (for people who are severely immunocompromised) dose and a Pfizer vaccine for their winter dose (for those who are eligible to receive this dose).,They are not eligible to receive a Pfizer vaccine for this additional third or fourth (for people who are severly immunocompromised) dose and a Pfizer vaccine for their winter dose (for those who are eligible to receive this dose).,They are not entitled to a Pfizer vaccine for that additional third or fourth (for those who are severely immunocompromised) dose and a Pfizer vaccine for their winter dose (for those who are eligible for that dose).,0.793751561
1,"Free COVID-19 vaccines are available at vaccination hubs, pharmacies and GPs.","Free COVID-19 vaccines are not available at vaccination hubs, pharmacies and GPs.","Free COVID-19 vaccines are not available in vaccination centers, pharmacies and general practitioners.",0.692307692
1,"Use the Victorian Government online booking system or call 1800 675 398 (7 days a week, 8 am to 8 pm) to book your vaccine appointment. For an interpreter, press zero (0).","Do not use the Victorian Government online booking system or call 1800 675 398 (7 days a week 8 am to 8 pm) to book your vaccine appointment. For an interpreter, press zero (0).","Do not use the Victorian Government's online booking system or call 1800 675 398 (7 days a week 8am to 8pm) to book your vaccination appointment. For an interpreter, press zero (0).",0.82198643
1,You can also request an Auslan interpreter when making your booking.,You can not also request an Auslan interpreter when making your booking.,You can also not request a foreign interpreter when making your booking.,0.833333333
1,"See the locations of all vaccination centres, including sites offering walk-in appointments.",-,-,
1,"To make a booking with a GP or pharmacy, use the Australian Government’s Vaccination Clinic Finder","To make a booking with a GP or pharmacy, do not use the Australian Government's Vaccination Clinic Finder.","To make a booking with a GP or pharmacy, do not use the Australian Government's Vaccine Clinic Locator.",0.888888889
1,You need a third dose to keep up your immunity against COVID-19.,You need not a third dose to keep up your immunity against COVID-19.,You don't need a third dose to maintain your immunity to COVID-19.,0.690033311
1,Australian Technical Advisory Group on Immunisation (ATAGI) recommends COVID-19 third doses for anyone aged 16 and over who received their second dose 3 or more months ago.,Australian Technical Advisory Group on Immunisation (ATAGI) recommends COVID-19 third doses for anyone not aged 16 and over who received their second dose 3 or more months ago.,The Australian Technical Advisory Group on Immunization (ATAGI) recommends third COVID-19 doses for people under the age of 16 who received their second dose 3 months or more ago.,0.75862069
1,"The Pfizer, Moderna and Novavax vaccines are approved for use as a third dose in people aged 18 years and over, regardless of which COVID-19 vaccine you received for your initial doses.","The Pfizer, Moderna and Novavax vaccines are not approved for use as a third dose in people aged 18 years and over, regardless of which COVID-19 vaccine you received for your initial doses.","The Pfizer, Moderna, and Novavax vaccines are not approved for use as a third dose in anyone 18 years or older, regardless of which COVID-19 vaccine you received for your starting doses.",0.817790542
1,People aged 16 to 17 will receive the Pfizer vaccine as their third dose.,People not aged 16 to 17 will not receive the Pfizer vaccine as their third dose.,People under the age of 16 to 17 will not receive the third dose of the Pfizer vaccine.,0.555555556
1,"The AstraZeneca vaccine is only recommended for use as a third dose if you have had a significant adverse reaction to a previous mRNA vaccine dose (for example, Pfizer or Moderna) that means you cannot have another dose of an mRNA vaccine.","The AstraZeneca vaccine is only not recommended for use as a third dose if you have had a significant adverse reaction to a previous mRNA vaccine dose (for example, Pfizer or Moderna) that means you cannot have another dose of an mRNA vaccine.","The only time AstraZeneca vaccine is not recommended as a third dose is if you have had a significant adverse reaction to a previous dose of mRNA vaccine (e.g. Pfizer or Moderna), meaning you cannot receive another dose of mRNA vaccine.",0.789786969
1,ATAGI does not recommend AstraZeneca for use as a third dose for people who received AstraZeneca for their first two doses.,ATAGI does recommend AstraZeneca for use as a third dose for people who received AstraZeneca for their first two doses.,ATAGI recommends AstraZeneca as the third dose for people who received AstraZeneca for their first two doses.,0.739608911
1,"If you’re not sure which third dose you’re eligible for, talk to your GP.","If you’re sure which third dose you’re eligible for, talk to your GP.","If you are sure which third dose you are eligible for, speak to your GP.",0.666666667
1,Your third dose will appear on your Australian immunisation history statement and your COVID-19 digital certificate.,Your third dose will not appear on your Australian immunisation history statement and your COVID-19 digital certificate.,Your third dose does not appear on your Australian vaccination record and digital COVID-19 certificate.,0.700138655
1,"Under Pandemic Orders, workers in key sectors who are already required to be up to date with their vaccination status with two doses, must get their third dose before being permitted to work on site. Visit Worker vaccination requirements for more information.","Under Pandemic Orders, workers in key sectors who are already not required to be up to date with their vaccination status with two doses, must not get their third dose before being permitted to work on site. Visit Worker vaccination requirements for more information.","Under pandemic regulations, workers in key sectors who do not need to be up to date on their vaccination status with two doses will not be allowed to receive their third dose before they are allowed to work on site. See Vaccination Requirements for Employees for more information.",0.625
1,"If you completed your initial vaccination course overseas with a vaccine recognised by the Therapeutic Goods Administration, you can get your third dose.","If you completed your initial vaccination course overseas with a vaccine recognised by the Therapeutic Goods Administration, you can not get your third dose.","If you have completed your first vaccination course abroad with a vaccine recognized by the Therapeutic Goods Administration, you will not be able to receive your third dose.",0.678571429
1,BEYOND BLUE STORY https://www.beyondblue.org.au/personal-best/pillar/supporting-yourself/i-came-because-i-didn't-want-to-die-jake-s-story-of-anxiety-depression-and-therapy,-,-,
1,"From a place of hopelessness, Jake has come to accept that he's worth recovering for.","From a place of hopelessness, Jake has not come to accept that he's worth recovering for.","From a place of hopelessness, Jake hasn't accepted that he's worth recovering.",0.537398483
1,It was Jake’s first session with a psychologist.,It was not Jake's first session with a psychologist.,It wasn't Jake's first session with a psychologist.,0.77218479
1,And this question would be the first of many he'd confront from this armchair over the coming two and a half years.,-,-,
1,"While it was hard to answer, Jake realised that for the first time in his 22 years, he wanted to find the answers.",-,-,
1,"“I knew that I was essentially broken,” he says.",-,-,
1,"“My attitude was, crack me open and pour me out onto the table. Let’s figure this thing out.”",-,-,
1,I'm in this by myself.,-,-,
1,I have someone that I can talk to and get a perspective from.,-,-,
1,The fourth dose is now available to adults aged 50 years and above ,The fourth dose is not available to adults aged 50 years and above,A fourth dose is not available for adults age 50 and older,0.613362943
1,Adults aged 30 and above now have the option to receive a fourth dose of a COVID-19 vaccine.,Adults aged 30 and above do not have the option to receive a fourth dose of a COVID-19 vaccine.,Adults 30 years of age and older should not receive a fourth dose of the COVID-19 vaccine.,0.627536305
1,"In addition to the above, a fourth dose is also available to people aged 16 years and above who are severely immunocompromised ","In addition to the above, a fourth dose is not available to people aged 16 years and above who are severely immunocompromised ","In addition to the above, the fourth dose is not available for severely immunocompromised patients 16 years of age or older.",0.635664637
1,"In addition to the above, a fourth dose is also available to residents of aged care or disability care facilities ","In addition to the above, a fourth dose is not available to residents of aged care or disability care facilities ","In addition to the above, the fourth dose is not available to residents of aged care or disabled care facilities",0.9
1,"In addition to the above, a fourth dose is also available to Aboriginal and Torres Strait Islander people aged 50 years and above","In addition to the above, a fourth dose is not available to Aboriginal and Torres Strait Islander people aged 50 years and above","In addition to the above, the fourth dose is not available to Aboriginal and Torres Strait Islander people over 50",0.774637179
1,"In addition to the above, a fourth dose is also available to people aged 16 years and above who have a medical condition that increases the risk of severe COVID-19 illness","In addition to the above, a fourth dose is not available to people aged 16 years and above who have a medical condition that increases the risk of severe COVID-19 illness","In addition to the above, the fourth dose is not available to people 16 years of age or older who have a medical condition that increases the risk of severe COVID-19 illness",0.84375
1,"In addition to the above, a fourth dose is also available to people aged 16 years and above who have disabilities with significant, complex, or multiple health issues, which increase the risk of poor outcomes from COVID-19 infection.","In addition to the above, a fourth dose is not available to people aged 16 years and above who have disabilities with significant, complex, or multiple health issues, which increase the risk of poor outcomes from COVID-19 infection.","In addition to the above, the fourth dose is not available to those over 16 years of age who have a significant, complex or multiple medical disability that increases the risk of a poor outcome from infection with COVID-19.",0.641025641
1,People who are now recommended to receive a fourth dose include people with immunocompromising conditions,People who are now recommended to receive a fourth dose does not include people with immunocompromising conditions,People who are now being advised to receive the fourth dose are not immunocompromised,0.518861409
1,People who are now recommended to receive a fourth dose include people with cancers,People who are now recommended to receive a fourth dose does not include people with cancers,Those who are now being recommended the fourth dose are not cancer patients,0.427496816
1,People who are now recommended to receive a fourth dose include people with specific chronic inflammatory conditions,People who are now recommended to receive a fourth dose does not include people with specific chronic inflammatory conditions,Those for whom the fourth dose is now recommended are not those with specific chronic inflammatory conditions,0.575241613
